capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T15:26:38.778586+00:00,1771773998778.559,2026-02-22T15:26:40.186022Z,1771774000186.022,BTC/EUR,57372.3,57372.4,0.20719859,0.02382103,-1407.463,13.447,18.776
2026-02-22T15:26:39.071492+00:00,1771773999071.443,2026-02-22T15:26:40.476629Z,1771774000476.629,BTC/EUR,57372.3,57378.6,0.20719859,0.02382103,-1405.186,15.724,311.660
2026-02-22T15:26:39.071560+00:00,1771773999071.543,2026-02-22T15:26:40.477059Z,1771774000477.059,BTC/EUR,57372.3,57378.6,0.3008721,0.02382103,-1405.515,15.395,311.761
2026-02-22T15:26:39.071591+00:00,1771773999071.581,2026-02-22T15:26:40.479129Z,1771774000479.129,BTC/EUR,57372.4,57378.6,0.09367351,0.02382103,-1407.548,13.362,311.799
2026-02-22T15:26:39.104413+00:00,1771773999104.380,2026-02-22T15:26:40.498725Z,1771774000498.725,BTC/EUR,57375.1,57378.6,0.32558202,0.02382103,-1394.345,26.565,344.597
2026-02-22T15:26:39.104467+00:00,1771773999104.453,2026-02-22T15:26:40.498725Z,1771774000498.725,BTC/EUR,57375.1,57385.3,0.32558202,0.22194879,-1394.272,26.638,344.670
2026-02-22T15:26:39.113831+00:00,1771773999113.798,2026-02-22T15:26:40.512139Z,1771774000512.139,BTC/EUR,57375.1,57375.2,0.32558202,0.02382103,-1398.341,22.569,354.015
2026-02-22T15:26:39.131637+00:00,1771773999131.604,2026-02-22T15:26:40.536456Z,1771774000536.456,BTC/EUR,57375.1,57375.2,0.44468515,0.02382103,-1404.853,16.057,371.821
2026-02-22T15:26:39.131691+00:00,1771773999131.677,2026-02-22T15:26:40.536514Z,1771774000536.514,BTC/EUR,57375.1,57385.2,0.44468515,0.02382103,-1404.837,16.073,371.894
2026-02-22T15:26:39.131723+00:00,1771773999131.713,2026-02-22T15:26:40.540056Z,1771774000540.056,BTC/EUR,57375.1,57387.5,0.44468515,0.02382103,-1408.343,12.568,371.931
2026-02-22T15:26:39.139640+00:00,1771773999139.607,2026-02-22T15:26:40.541711Z,1771774000541.711,BTC/EUR,57375.1,57385.9,0.44468515,0.0042,-1402.104,18.806,379.824
