capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T14:18:10.163945+00:00,1771769890163.920,2026-02-22T14:18:11.467670Z,1771769891467.670,BTC/EUR,57355.2,57355.3,0.11902169,0.10930593,-1303.750,105.180,13.463
2026-02-22T14:18:10.404673+00:00,1771769890404.648,2026-02-22T14:18:11.785301Z,1771769891785.301,BTC/EUR,57355.2,57355.3,0.11902169,0.14094352,-1380.653,28.277,254.191
2026-02-22T14:18:10.404708+00:00,1771769890404.699,2026-02-22T14:18:11.785301Z,1771769891785.301,BTC/EUR,57353.8,57355.3,0.03305,0.14094352,-1380.602,28.329,254.242
2026-02-22T14:18:10.404728+00:00,1771769890404.719,2026-02-22T14:18:11.787536Z,1771769891787.536,BTC/EUR,57353.8,57353.9,0.03305,0.03163759,-1382.817,26.114,254.262
2026-02-22T14:18:10.713179+00:00,1771769890713.147,2026-02-22T14:18:12.112849Z,1771769892112.849,BTC/EUR,57353.8,57353.9,0.04785,0.03163759,-1399.702,9.229,562.690
2026-02-22T14:18:10.748592+00:00,1771769890748.574,2026-02-22T14:18:12.129165Z,1771769892129.165,BTC/EUR,57353.8,57353.9,0.26247164,0.03163759,-1380.591,28.339,598.117
2026-02-22T14:18:10.766677+00:00,1771769890766.660,2026-02-22T14:18:12.155470Z,1771769892155.470,BTC/EUR,57353.8,57353.9,0.38159624,0.03163759,-1388.810,20.121,616.203
2026-02-22T14:18:10.766708+00:00,1771769890766.700,2026-02-22T14:18:12.155470Z,1771769892155.470,BTC/EUR,57353.8,57355.3,0.38159624,0.02405993,-1388.770,20.161,616.243
2026-02-22T14:18:10.766725+00:00,1771769890766.720,2026-02-22T14:18:12.156847Z,1771769892156.847,BTC/EUR,57354.9,57355.3,0.0148,0.02405993,-1390.127,18.803,616.263
2026-02-22T14:18:10.766738+00:00,1771769890766.734,2026-02-22T14:18:12.158347Z,1771769892158.347,BTC/EUR,57355.2,57355.3,0.11912169,0.02405993,-1391.613,17.318,616.277
2026-02-22T14:18:10.766750+00:00,1771769890766.746,2026-02-22T14:18:12.161059Z,1771769892161.059,BTC/EUR,57355.2,57355.3,0.13392169,0.02405993,-1394.312,14.618,616.289
2026-02-22T14:18:11.110065+00:00,1771769891110.023,2026-02-22T14:18:12.508780Z,1771769892508.780,BTC/EUR,57355.2,57355.3,0.0148,0.02405993,-1398.757,10.173,959.566
2026-02-22T14:18:11.110123+00:00,1771769891110.112,2026-02-22T14:18:12.508891Z,1771769892508.891,BTC/EUR,57355.2,57355.3,0.0148,0.05569752,-1398.779,10.152,959.655
